States,Assamese,Bengali,Bilingual,Dogri,English,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Multilingual,Nepali,Odia,Punjabi,Sanskrit,Santhali,Sindhi,Tamil,Telugu,Urdu,Others,Total
Andaman & Nicobar Islands,0,28094,7366,0,90517,0,76438,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,15200,0,219115
Andhra Pradesh,0,0,357351,0,2712245,0,161570,17000,0,0,0,0,0,0,80829,0,20000,0,16000,0,0,1000,19433792,827440,0,23627227
Arunachal Pradesh,0,0,0,0,310504,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327504
Assam,1054879,505058,36980,0,588342,0,249244,0,0,0,0,0,38255,0,40300,0,0,0,0,0,0,0,0,109837,146139,2769034
Bihar,0,1200,107491,0,331099,0,7293925,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,2929598,0,10663613
Chandigarh,0,0,34200,0,1116632,0,893806,0,0,0,0,0,0,0,7300,0,0,332385,0,0,0,0,0,0,0,2384323
Chhattisgarh,0,0,81709,0,221073,0,7508020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135387,16771,7962960
Daman & Diu,0,0,0,0,15780,179125,88247,0,0,0,0,0,0,950,0,0,0,0,650,0,0,0,0,0,0,284752
Delhi,1000,43093,2069163,0,10311048,28425,19839306,45147,0,0,0,28207,0,50336,111333,0,1521,731592,47492,0,0,16387,13201,3513560,27425,36878236
Dadra & Nagar Haveli,0,0,5000,0,113073,87398,315533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521004
Goa,0,0,0,0,227676,0,17000,0,0,3340,0,10200,0,163613,0,0,0,0,0,0,0,0,0,0,0,421829
Gujarat,0,0,620729,0,2271198,27597511,3626883,0,0,0,0,0,0,254543,65331,0,0,0,95707,0,39351,88187,25442,169377,0,34854259
Haryana,0,0,185689,0,179419,0,4029113,0,0,0,0,0,0,0,0,0,0,25230,0,0,0,0,0,39000,0,4458451
Himachal Pradesh,0,0,14863,0,26045,0,934608,0,0,0,0,0,0,0,2050,0,0,0,0,0,0,0,0,0,0,977566
Jharkhand,0,53766,45025,0,376564,0,3999102,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,850087,3452,5335996
Jammu & Kashmir,0,0,552488,50150,4836449,0,605622,0,90150,0,0,0,0,0,32700,0,0,0,0,0,0,0,0,2439814,0,8607373
Karnataka,0,0,193897,0,3612981,0,152136,8363952,0,8108,0,19369,0,136484,9256,0,0,0,2000,0,0,96932,62922,342017,24550,13024604
Kerala,0,0,113129,0,1266280,0,185597,7515,0,0,0,14840715,0,0,113896,0,0,0,0,0,0,968,537,0,0,16528637
Maharashtra,0,8085,2070904,0,8613761,796757,7463006,48952,0,1987,0,78478,0,26679568,236522,0,16658,0,400,0,43467,47093,7659,953212,5600,47072109
Manipur,0,0,17280,0,128797,0,0,0,0,0,0,0,194320,0,0,0,0,0,0,0,0,0,0,0,6306,346703
Meghalaya,0,0,0,0,87795,0,29429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,149118,266842
Mizoram,0,0,0,0,113716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432146,545862
Madhya Pradesh,0,0,836930,0,843038,0,44260089,0,0,0,0,0,0,15950,108500,0,0,0,63864,0,16224,0,0,643681,0,46788276
Nagaland,0,0,0,0,139840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34859,174699
Odisha,0,0,507275,0,1089184,0,287779,0,0,0,0,0,0,0,58455,0,11133615,0,16000,0,0,0,0,51550,0,13143858
Pondicherry,0,0,18225,0,8966,0,9886,0,0,0,0,0,0,856,1277,0,2375,0,650,0,0,218109,250,0,395,260989
Punjab,0,850,131575,0,128460,0,1946490,0,0,0,0,1250,0,0,66852,0,700,2566711,0,0,0,550,550,10341,0,4854329
Rajasthan,0,0,311916,0,400557,0,19168151,600,0,0,0,0,0,0,13155,0,0,0,0,0,220192,0,0,117633,49558,20281762
Sikkim,0,0,0,0,145166,0,47516,0,0,0,0,0,0,0,0,139350,0,0,0,0,0,0,0,44975,0,377007
Telangana,0,0,264855,0,2189479,0,424004,0,0,0,0,0,0,0,64475,0,0,0,0,0,0,0,8367712,1500259,0,12810784
Tamil Nadu,0,3500,1034477,0,5248465,950,101797,1400,0,0,0,6175,0,1100,2400,0,2800,0,0,0,0,8833150,71110,43725,300,15351349
Tripura,0,513640,24500,0,128780,0,25666,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,26090,720675
Uttar Pradesh,0,24200,1451464,0,2212673,0,55880727,0,0,0,0,0,0,0,86766,0,0,3034,6200,0,0,0,0,9236157,47710,68948931
Uttarakhand,0,3700,365726,0,615558,5166,14788412,0,0,0,0,2200,0,0,5400,1000,0,12241,9700,0,0,0,0,645076,63500,16517679
West Bengal,0,6807376,217220,0,2752404,50094,1195888,0,0,0,0,0,0,0,21537,40467,0,1,0,1800,0,0,200,671305,0,11758292
Total,1055879,7992562,11677427,50150,53453564,28745426,195621990,8484566,90150,13435,300,14986594,232575,27303400,1139833,180817,11177669,3671194,258663,1800,319234,9302376,27983375,25289731,1033919,430066629
