States,Assamese,Bengali,Bilingual,Bodo,Dogri,English,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Multilingual,Nepali,Odia,Punjabi,Sanskrit,Santhali,Sindhi,Tamil,Telugu,Urdu,Others,Total
"Andaman &Nicobar Islands",0,18229,1000,0,0,29316,0,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54765
Andhra Pradesh,0,0,383114,0,0,4764802,0,436532,16883,0,0,0,0,0,0,63891,0,5699,0,0,0,0,0,18660627,1839480,0,26171028
"ArunachalPradesh",0,0,0,0,0,159906,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176906
Assam,1621145,666931,61365,167935,0,760123,0,161858,31437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23286,63058,3557138
Bihar,0,0,93624,0,0,212254,0,6800824,0,0,0,1500,0,0,0,22286,0,0,0,0,0,0,0,0,2355927,0,9486415
Chandigarh,0,0,99132,0,0,858602,0,1008144,0,0,0,0,0,0,0,1000,0,0,318337,0,0,0,0,0,0,0,2285215
Chhattisgarh,0,0,113716,0,0,227554,0,7933286,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,232862,24531,8533849
Daman & Diu,0,0,0,0,0,0,335625,122496,0,0,0,0,0,0,0,0,0,0,0,2745,0,0,0,0,0,0,460866
Delhi,1662,57613,3603942,0,0,17033088,46474,34679335,68355,0,0,35000,48212,0,88982,184317,1900,2049,1104810,168438,0,0,43115,34252,6581748,104138,63887430
"Dadra & NagarHaveli",0,0,62178,0,0,87082,72937,200788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422985
Goa,0,0,0,0,0,264278,0,44447,0,0,2801,0,0,0,71212,0,0,0,0,0,0,0,0,0,0,0,382738
Gujarat,0,0,581128,0,0,1703882,18484181,2804224,0,0,0,0,0,0,247371,24344,0,0,0,39420,0,120982,0,0,112466,0,24117998
Haryana,0,0,160352,0,0,747739,0,4093352,0,0,0,0,0,0,0,0,0,0,155442,0,0,0,0,0,79400,0,5236285
"HimachalPradesh",0,0,24134,0,0,140996,0,953865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118995
Jharkhand,0,25890,132348,0,0,305848,0,3422832,0,0,0,0,0,0,0,16485,0,0,0,0,0,0,0,0,812960,5616,4721979
"Jammu &Kashmir",0,0,606465,0,54420,5393275,0,699268,0,168691,0,0,0,0,0,22466,0,0,0,0,0,0,0,0,2682839,0,9627424
Karnataka,0,1887,141391,0,0,4987525,3461,70820,6150964,0,0,0,5911,0,202422,2004,0,0,0,0,0,0,121313,54584,461532,0,12203814
Kerala,0,27549,77875,0,0,1449896,2074,244398,26167,0,0,0,13465939,0,8217,940,0,0,0,0,0,0,99486,7566,0,0,15410107
Maharashtra,0,0,374960,0,0,9590478,663033,5698791,23162,0,0,0,42391,0,16051118,68273,0,0,0,0,0,73596,86497,17766,725136,6463,33421664
Manipur,0,0,0,0,0,153891,0,2858,0,0,0,0,0,166626,0,0,0,0,0,0,0,0,0,0,0,27287,350662
Meghalaya,0,6259,0,0,0,141767,0,16462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12616,80951,258055
Mizoram,0,0,0,0,0,184259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169018,353277
Madhya Pradesh,0,0,659936,0,0,746245,20457,34269056,0,0,0,0,0,0,7883,88627,0,0,0,5229,0,24260,0,0,798266,0,36619959
Nagaland,0,0,0,0,0,145518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12579,0,26119,184216
Odisha,0,0,644344,0,0,966289,0,366027,0,0,0,0,0,0,0,217989,0,12467461,0,0,0,0,0,0,54806,0,14716916
Pondicherry,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216581,0,0,0,220581
Punjab,0,0,104083,0,0,9761,0,2034805,0,0,0,0,0,0,0,88253,0,0,3260511,0,0,0,0,0,0,0,5497413
Rajasthan,0,0,348780,0,0,509159,0,23542434,0,0,0,0,0,0,0,6623,0,0,0,0,0,374616,0,0,162683,164174,25108469
Sikkim,0,0,0,0,0,251780,0,66019,0,0,0,0,0,0,0,0,342162,0,0,0,0,0,0,0,0,0,659961
Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,0,0,889602,0,0,5715695,0,97394,0,0,0,0,6250,0,0,800,0,0,0,0,0,0,7729442,71252,0,0,14510435
Tripura,0,679640,36999,0,0,105226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57950,879815
Uttar Pradesh,0,0,1999996,0,0,2879451,0,80460597,0,0,0,0,0,0,0,92381,5000,0,133218,71200,0,0,0,0,15807945,43750,101493538
Uttaranchal,0,0,434355,0,0,728056,0,14848741,0,0,0,0,0,0,0,0,800,0,0,4600,0,0,0,0,1047536,55691,17119779
West Bengal,0,5712680,134240,0,0,3151902,0,1372644,0,0,0,16175,0,0,0,19074,38990,9690,56599,0,29625,0,0,0,793916,0,11335535
Total,1622807,7196678,11773059,167935,54420,64405643,19628242,226475517,6316968,168691,2801,52675,13570603,166626,16677205,919753,388852,12484899,5028917,291632,29625,593454,8296434,18858626,34585404,828746,450586212
