States,Assamese,Bengali,Bilingual,Dogri,English,Gujarati,Hindi,Kannada,Kashmiri,Konkani,Maithili,Malayalam,Manipuri,Marathi,Multilingual,Nepali,Odia,Punjabi,Sanskrit,Santhali,Sindhi,Tamil,Telugu,Urdu,Others,Total
"Andaman &Nicobar Islands",0,16408,1000,0,50641,0,37848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4459,0,0,0,110356
Andhra Pradesh,0,0,368255,0,5657317,0,471100,10500,0,0,0,0,0,0,62125,0,46000,0,27000,0,0,0,23787975,2167677,27000,32597949
"ArunachalPradesh",0,0,0,0,192962,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209962
Assam,1362841,800126,62181,0,892490,0,304560,0,0,0,0,0,0,0,0,0,0,234071,0,0,0,0,0,153163,0,3809432
Bihar,0,350,124521,0,237939,0,8209602,0,0,0,11200,0,0,0,22286,0,0,0,0,0,0,0,0,3005335,0,11611233
Chandigarh,0,0,65524,0,905694,0,1168248,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,2423870
Chhattisgarh,0,0,65523,0,238682,0,8640356,0,0,0,0,1900,0,0,0,0,0,23913,0,0,0,0,0,236374,0,9206748
Daman & Diu,0,0,0,0,13575,270874,190917,0,0,0,0,0,0,47700,0,0,0,0,15500,0,0,0,0,0,15500,538566
Delhi,0,25987,3238796,0,15209708,41637,36000196,87719,0,14392,400,27026,0,77187,119882,1950,0,29442,128812,0,0,15568,15279,7574975,128812,63622042
"Dadra & NagarHaveli",0,0,25650,0,191163,115242,442302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774357
Goa,0,0,0,0,204758,0,28000,0,0,2550,0,0,0,86726,0,0,0,0,0,0,0,0,0,0,0,322034
Gujarat,0,0,457871,0,1463606,22322831,3530182,0,0,0,0,0,0,319372,40519,0,1100,0,75000,0,46453,0,0,206456,75000,28463390
Haryana,0,0,241941,0,744802,0,5310879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29500,0,6327122
"HimachalPradesh",0,0,10963,0,178320,0,1003154,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,1198937
Jharkhand,0,36500,91723,0,385037,0,3455815,0,0,0,0,0,0,0,25230,0,0,5394,0,0,0,0,0,863286,0,4862985
"Jammu &Kashmir",0,0,520289,54459,5521255,0,681406,0,162950,0,0,0,0,0,44667,0,0,0,0,0,0,0,0,2336643,0,9321669
Karnataka,0,0,257838,0,2673243,0,180314,5678667,0,82900,0,20203,0,232374,3889,0,0,1000,0,0,0,120504,48861,641242,0,9941035
Kerala,0,0,142064,0,1265140,0,237130,11321,0,0,0,14941014,0,0,0,0,2586,0,1759,0,0,60200,0,0,1759,16661214
Maharashtra,0,7539,939456,0,10216918,961165,6457679,22560,0,0,4000,50414,0,23116122,102629,0,0,7233,0,0,77278,47836,6917,903372,0,42921118
Manipur,0,0,0,0,138072,0,6658,0,0,0,0,0,186775,0,0,0,0,8223,0,0,0,0,0,0,0,339728
Meghalaya,0,0,0,0,138778,0,58437,0,0,0,0,0,0,0,0,0,0,158469,0,0,0,0,0,12616,0,368300
Mizoram,0,0,0,0,107703,0,0,0,0,0,0,0,0,0,0,0,0,124403,0,0,0,0,0,0,0,232106
Madhya Pradesh,0,0,818583,0,802170,18600,41967020,0,0,0,0,0,0,26674,75155,0,0,0,5479,0,10600,0,0,870758,5479,44595039
Nagaland,0,0,0,0,170490,0,0,0,0,0,0,0,0,0,0,0,0,39122,0,0,0,0,0,0,0,209612
Odisha,0,0,719562,0,1347066,0,355518,0,0,0,0,0,0,0,217126,0,13418799,0,23500,0,0,0,0,65554,23500,16147125
Pondicherry,0,0,20650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309449,0,0,0,330099
Punjab,0,0,87710,0,20893,0,2289493,0,0,0,0,0,0,0,45376,0,0,0,0,0,0,0,0,10411,0,5577653
Rajasthan,0,0,489287,0,471327,0,25018347,600,0,0,0,0,0,0,40000,0,0,166470,0,0,394156,0,0,121100,0,26701287
Sikkim,0,0,0,0,268014,0,113445,0,0,0,0,0,0,0,0,263671,0,0,0,0,0,0,0,51000,0,696130
Telangana,0,0,15600,0,584901,0,19780,0,0,0,0,0,0,0,14500,0,0,3500,0,0,0,0,3274092,304371,0,4216744
Tamil Nadu,0,3800,1461849,0,5044086,1000,84184,1499,0,0,0,46051,0,1315,7650,0,2775,983,0,0,0,8564991,67740,0,0,15287923
Tripura,0,562164,38050,0,111161,0,0,0,0,0,0,0,0,0,0,0,0,51688,0,0,0,0,0,0,0,763063
Uttar Pradesh,0,0,2361119,0,3794514,0,93138835,0,0,0,0,0,0,17992,97942,5000,0,67482,80100,0,0,0,0,19743988,80100,119447265
Uttaranchal,0,26500,504686,0,820723,11500,17206843,0,0,0,0,0,0,0,0,800,0,57167,8500,0,0,0,0,1108189,8500,19744908
West Bengal,0,5979087,215646,0,2599522,0,1136737,0,0,0,16197,0,0,0,751,76251,0,0,0,26000,0,0,200,867939,0,10940444
Total,1362841,7458461,13346337,54459,62662670,23742849,257761985,5812866,162950,99842,31797,15086608,186775,23925462,927227,347672,13471260,978560,365650,26000,528487,9123007,27201064,41273949,365650,510521445
